Camotes_Sea_Site,Number_of_ROMS_Ocean_Grid_Cells,c_all_avg,c_NEM_avg,c_SWM_avg,c_2012_avg,c_2013_avg,c_2014_avg,EKE_all_avg,EKE_NEM_avg,EKE_SWM_avg,EKE_2012_avg,EKE_2013_avg,EKE_2014_avg,u_2012_avg,u_2013_avg,u_2014_avg,v_2012_avg,v_2013_avg,v_2014_avg
Palanas,1,4.77,6.71,2.52,5.62,6.01,6.07,36.87,42.57,23.94,87.4,84.52,77.78,-1.62,-0.61,-1.8,5.38,5.98,5.8
Wangag,1,5.28,6.77,3.02,6.71,6.64,6.52,32.96,38.28,21.22,77.11,73.94,75.91,-1.6,-0.76,-1.93,6.51,6.59,6.23
Magbangon,1,5,6.05,3.6,7.41,6.97,6.24,29.04,31.6,23.83,79.23,83.07,77.94,0.19,-0.18,-1.98,7.41,6.97,5.92
Cabatoan,1,4.65,5.75,3.13,7.37,6.98,5.84,28.02,30.7,22.95,88.27,90.87,83.8,0.63,0.04,-1.74,7.34,6.98,5.57
Caridad_Cemetery,1,3.46,5.37,1.26,4.36,3.84,2.24,29.65,32.79,21.77,92.77,92.7,92.79,1.28,-0.38,-0.79,4.17,3.82,2.09
Caridad_Proper,1,2.16,4.63,4.69,3.84,3.08,0.88,43.34,39.33,49.06,105.38,112.56,109.06,2.83,1.39,0.77,2.6,2.75,0.43
Hicgop,1,4.06,3.49,12.67,6.25,5.89,4.37,111.57,75.88,183.11,171.55,207.01,185.19,5.99,5.59,3.53,-1.77,-1.86,-2.57
Hicgop_South,1,3.77,3.36,10.76,5.7,5.15,4.13,101.97,83.94,138.25,152.48,190,187.37,5.29,4.53,3.04,-2.11,-2.44,-2.79
Sitio_Tugas,1,2.84,2.97,6.58,3.97,3.09,2.78,83.05,87.83,72.7,121.25,151.98,153.57,3.57,2.49,1.92,-1.74,-1.82,-2.01
Elementary_School,1,2.12,2.67,2.8,2.84,1.57,1.08,76.24,90.7,45.99,96,121.96,140.34,2.81,1.55,1.07,-0.4,0.23,-0.18
Sitio_Lonas,1,2.68,2.48,3.6,5.52,6.53,7.2,69.29,77.33,52.12,154.49,191.84,236.41,4.74,5.04,4.74,2.83,4.16,5.42
San_Agustin,1,2.59,2.4,3.44,5.42,6.38,7.12,66.07,72.71,51.46,140.74,173.63,216.92,4.23,4.84,4.66,3.39,4.16,5.39
Poroc_San_Flower,1,2.46,2.31,3.17,5.09,6.26,6.55,63.8,69.49,50.88,131.71,158.28,193.07,3.74,4.74,4.39,3.45,4.1,4.85
Poroc_Rose,1,2.47,2.38,2.97,4.52,6.22,5.72,62.02,67.11,50.18,122.38,142.84,159.62,3.06,4.74,3.97,3.33,4.03,4.13
Pangasugan,1,2.64,2.63,2.79,4.54,5.4,3.52,59.65,64.83,47.81,98.78,119.26,113.54,2.22,4.15,2.39,3.96,3.45,2.59
Visca,1,2.65,2.71,2.61,4.42,4.67,3.17,59.71,65.64,46.62,94.1,116.07,106.39,1.8,3.71,2.01,4.03,2.83,2.45
Gabas,1,2.94,3.22,2.44,3.59,2.93,2.21,68.85,81.13,43.94,88.3,124.78,105.01,0.65,2.17,1.02,3.53,1.97,1.96
Haina,2,2.06,6.15,9.07,1.58,3.04,2.31,134.06,141.41,125.58,216.15,188.32,189.77,1.57,2.66,0.94,0.24,-1.48,-2.11
Sitio_Baybayon,2,1.92,6.32,9.56,1.53,2.69,2.31,137.63,142.16,134.57,210.36,184.57,183.94,1.5,2.29,0.91,0.23,-1.4,-2.12
Tamakin_Dacot,1,2.14,5.96,8.28,1.61,2.98,2.03,131.39,141.01,118.14,216.28,187.37,193.79,1.6,2.55,0.63,0.16,-1.54,-1.93
CAI,6402,2.94,5.42,4.92,3.14,3.03,3.72,79.96,86.65,65.24,109.96,117.69,117.46,-1.76,-1.85,-2.67,0.68,1.07,0.73