"fish_indiv","size","color","sex","gen_id","sample_id","site","date","anem_obs_time","anem_obs","gps","dive_type","year","input","par_fish_indiv","offs_site","par_site","year_match","matched_offs"
"762",5.1,"Y","J",762,"APCL12_256","Wangag",2012-05-14,"09:45:00",NA,1,"E",2012,"offspring",236,"Wangag","Palanas",2012,"Y"
"2318",4.1,"Y","J",2318,"APCL12_275","Wangag",2012-05-14,"11:35:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"409",4.5,"Y","J",409,"APCL12_276","Wangag",2012-05-14,"11:44:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"2317",5.1,"W","J",2317,"APCL12_168","S.Magbangon",2012-05-10,"14:08:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"2072",4.1,NA,NA,2072,"APCL12_090","Palanas",2012-05-09,"13:01:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"92",5.4,NA,NA,92,"APCL12_094","Palanas",2012-05-09,"12:46:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"267",5.5,"Y","J",267,"APCL12_102","Wangag",2012-05-09,"14:27:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"148",4.8,"W","J",148,"APCL12_115","Wangag",2012-05-09,"15:14:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"199",5.3,NA,NA,199,"APCL12_119","Wangag",2012-05-09,"15:42:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"121",5.3,"W","J",121,"APCL12_122","Wangag",2012-05-09,"15:25:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"758",5.6,"Y","J",758,"APCL12_167","S.Magbangon",2012-05-10,"14:06:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"193",4.5,NA,NA,193,"APCL12_103","Wangag",2012-05-09,"14:33:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"115",4.6,"W","J",115,"APCL12_152","S.Magbangon",2012-05-10,"11:37:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"249",4.5,"Y","J",249,"APCL12_166","S.Magbangon",2012-05-10,"14:02:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"227",5.6,"W","J",227,"APCL12_199","Poroc Rose",2012-05-11,"10:41:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"116",4.2,"W","J",116,"APCL12_206","Poroc San Flower",2012-05-11,"12:07:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"259",3.8,"Y","J",259,"APCL12_207","Poroc San Flower",2012-05-11,"12:16:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"237",5.8,"Y","J",237,"APCL12_212","Poroc San Flower",2012-05-11,"12:29:00",NA,1,"E",2012,"offspring",862,"Poroc San Flower","Wangag",2012,"Y"
"891",4.4,"Y","J",891,"APCL12_217","Poroc San Flower",2012-05-11,"12:53:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"871",3.8,"Y","J",871,"APCL12_266","Wangag",2012-05-14,"10:25:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"860",5.1,"W","J",860,"APCL12_282","Wangag",2012-05-14,"11:59:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"2281",5,"Y","J",2281,"APCL12_286","Wangag",2012-05-14,"12:48:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"165",4.1,"Y","J",165,"APCL12_124","Wangag",2012-05-09,"15:30:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"225",4.8,NA,NA,225,"APCL12_055","Palanas",2012-05-09,"09:36:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"2342",3.8,NA,NA,2342,"APCL12_112","Wangag",2012-05-09,"14:52:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"140",4.9,NA,NA,140,"APCL12_126","Cabatoan",2012-05-10,"09:07:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"229",5.5,"Y","J",229,"APCL12_193","Poroc Rose",2012-05-11,"10:09:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"143",5.8,"Y","J",143,"APCL12_200","Poroc Rose",2012-05-11,"10:47:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"888",4,"W","J",888,"APCL12_214","Poroc San Flower",2012-05-11,"12:43:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"216",5.7,NA,NA,216,"APCL12_039","Palanas",2012-05-08,"11:38:00",NA,1,"D",2012,"offspring",NA,NA,NA,NA,"N"
"176",4.8,NA,NA,176,"APCL12_061","Palanas",2012-05-09,"09:14:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"219",3.7,NA,NA,219,"APCL12_072","Palanas",2012-05-09,"11:41:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"144",4.6,"Y","J",144,"APCL12_143","Cabatoan",2012-05-10,"10:26:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"261",5.9,"W","J",261,"APCL12_169","S.Magbangon",2012-05-10,"14:12:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"244",5.6,"W","J",244,"APCL12_196","Poroc Rose",2012-05-11,"10:28:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"139",5,"Y","J",139,"APCL12_204","Poroc San Flower",2012-05-11,"12:03:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"2716",4.4,"Y","J",2716,"APCL12_213","Poroc San Flower",2012-05-11,"12:39:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"145",5.7,NA,NA,145,"APCL12_056","Palanas",2012-05-09,"09:18:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"207",3.8,NA,NA,207,"APCL12_067","Palanas",2012-05-09,"10:28:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"101",3,NA,NA,101,"APCL12_068","Palanas",2012-05-09,"10:13:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"217",5.7,"Y","J",217,"APCL12_158","S.Magbangon",2012-05-10,"11:58:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"127",4.2,"W","J",127,"APCL12_162","S.Magbangon",2012-05-10,"11:58:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"102",4,"W","J",102,"APCL12_173","S.Magbangon",2012-05-10,"14:25:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"879",3.2,"W","J",879,"APCL12_219","Sitio Lonas",2012-05-11,"15:03:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"878",4.6,"Y","J",878,"APCL12_250","Wangag",2012-05-14,"09:24:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"876",4.2,"Y","J",876,"APCL12_258","Wangag",2012-05-14,"09:45:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"169",5.2,NA,NA,169,"APCL12_023","Visca",2012-05-06,"15:22:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"100",4.1,NA,NA,100,"APCL12_031","Palanas",2012-05-08,"09:29:00",NA,1,"D",2012,"offspring",NA,NA,NA,NA,"N"
"243",3.1,NA,NA,243,"APCL12_057","Palanas",2012-05-09,"09:34:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"2538",3.4,NA,NA,2538,"APCL12_063","Palanas",2012-05-09,"09:25:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"192",2.9,NA,NA,192,"APCL12_076","Palanas",2012-05-09,"10:02:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"204",4.6,NA,NA,204,"APCL12_136","Cabatoan",2012-05-10,"10:04:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"9",4.4,"Y","J",9,"APCL12_189","Poroc Rose",2012-05-11,"09:52:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"167",4.3,"Y","J",167,"APCL12_195","Poroc Rose",2012-05-11,"10:17:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"715",3.8,"Y","J",715,"APCL12_149","S.Magbangon",2012-05-10,"11:23:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"399",3.5,NA,NA,399,"APCL12_178","N.Magbangon",2012-05-10,"15:04:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"571",3.1,"Y","J",571,"APCL12_181","Poroc Rose",2012-05-11,"09:14:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"291",5.3,"W","J",291,"APCL12_187","Poroc Rose",2012-05-11,"09:29:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"296",4.1,"W","J",296,"APCL12_188","Poroc Rose",2012-05-11,"09:47:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"154",5.2,"Y","J",154,"APCL12_203","Poroc San Flower",2012-05-11,"11:54:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"1009",5.4,NA,NA,1009,"APCL12_128","Cabatoan",2012-05-10,"09:27:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"224",5.7,"W","J",224,"APCL12_205","Poroc San Flower",2012-05-11,"12:07:00",NA,1,"E",2012,"offspring",196,"Poroc San Flower","S.Magbangon",2012,"Y"
"678",4.3,NA,NA,678,"APCL12_123","Wangag",2012-05-09,"15:33:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"339",3,"YR","J",339,"APCL13_221","Palanas",2013-05-27,"12:10:45",120,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"185",2.5,"Y","J",185,"APCL13_223","Palanas",2013-05-27,"12:16:15",121,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"320",4.6,"W","J",320,"APCL13_224","Palanas",2013-05-27,"12:22:00",122,1,"C",2013,"offspring",754,"Palanas","Sitio Baybayon",2013,"Y"
"104",4,"YR","J",104,"APCL13_227","Palanas",2013-05-27,"12:31:30",124,1,"C",2013,"offspring",235,"Palanas","Palanas",2013,"Y"
"621",3.4,"YR","J",621,"APCL13_229","Palanas",2013-05-27,"12:36:15",125,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"763",3.4,"YR","J",763,"APCL13_230","Palanas",2013-05-27,"12:36:15",126,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"514",5.4,"W","J",514,"APCL13_234","Palanas",2013-05-27,"14:19:45",129,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"473",4.7,"YR","J",473,"APCL13_237","Palanas",2013-05-27,"14:24:15",130,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"651",3.4,"YR","J",651,"APCL13_238","Palanas",2013-05-27,"14:24:15",130,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"316",4.2,"YR","J",316,"APCL13_240","Palanas",2013-05-27,"14:35:00",132,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"312",3.8,"YR","J",312,"APCL13_245","Palanas",2013-05-27,"14:45:00",135,1,"C",2013,"offspring",146,"Palanas","Visca",2013,"Y"
"714",2.6,"YR","J",714,"APCL13_247","Palanas",2013-05-27,"14:45:00",135,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"635",2.6,"YR","J",635,"APCL13_249","Palanas",2013-05-27,"15:06:45",137,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"390",4.2,"YR","J",390,"APCL13_250","Palanas",2013-05-27,"15:06:45",137,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"568",2.8,"BW","J",568,"APCL13_253","Wangag",2013-05-28,"09:01:30",139,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"973",4.7,"YP","J",973,"APCL13_258","Wangag",2013-05-28,"09:30:50",142,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"310",4.9,"YR","J",310,"APCL13_260","Wangag",2013-05-28,"09:35:30",143,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"344",2.9,"YR","J",344,"APCL13_263","Wangag",2013-05-28,"09:50:45",146,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"722",4.2,"YR","J",722,"APCL13_265","Wangag",2013-05-28,"09:56:00",147,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"648",4.6,"YR","J",648,"APCL13_268","Wangag",2013-05-28,"09:45:45",145,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"798",5,"YR","J",798,"APCL13_274","Wangag",2013-05-28,"11:09:55",154,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"967",4.5,"YP","J",967,"APCL13_285","Wangag",2013-05-28,"11:55:30",162,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"489",4.2,"YR","J",489,"APCL13_286","Wangag",2013-05-28,"12:02:23",163,1,"C",2013,"offspring",1794,"Wangag","Palanas",2013,"Y"
"549",5.4,"W","J",549,"APCL13_287","Wangag",2013-05-28,"12:07:48",154,1,"C",2013,"offspring",394,"Wangag","Palanas",2013,"Y"
"497",5.5,"YR","J",497,"APCL13_289","Wangag",2013-05-28,"12:15:15",165,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"269",3.9,"YR","J",269,"APCL13_291","Wangag",2013-05-28,"12:19:45",166,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"377",3,"YR","J",377,"APCL13_292","Wangag",2013-05-28,"12:19:45",166,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"623",5.4,"YR","J",623,"APCL13_294","Wangag",2013-05-28,"12:32:36",168,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"548",4.2,"YR","J",548,"APCL13_298","Wangag",2013-05-28,"13:54:00",171,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"592",3.4,"YR","J",592,"APCL13_300","Wangag",2013-05-28,"13:54:00",171,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"492",2.5,"W","J",492,"APCL13_325","Cabatoan",2013-05-29,"09:09:10",190,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"447",5.3,"W","J",447,"APCL13_341","S.Magbangon",2013-05-29,"11:09:00",199,1,"C",2013,"offspring",236,"S.Magbangon","Palanas",2013,"Y"
"278",2.5,"YR","J",278,"APCL13_342","S.Magbangon",2013-05-29,"11:09:00",199,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"459",5.8,"W","J",459,"APCL13_346","S.Magbangon",2013-05-29,"11:30:00",203,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"634",4.4,"YR","J",634,"APCL13_358","S.Magbangon",2013-05-29,"12:27:00",209,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"557",5.8,"W","J",557,"APCL13_359","S.Magbangon",2013-05-29,"12:27:00",209,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"676",5.7,"YR","J",676,"APCL13_372","S.Magbangon",2013-05-29,"15:06:00",215,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"630",5.2,"YR","J",630,"APCL13_374","S.Magbangon",2013-05-29,"15:06:00",215,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"519",4,"W","J",519,"APCL13_380","S.Magbangon",2013-05-29,"15:54:25",219,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"520",2.8,"YR","J",520,"APCL13_382","S.Magbangon",2013-05-29,"15:59:45",220,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"646",3.3,"W","J",646,"APCL13_388","Wangag",2013-05-30,"08:47:15",223,1,"C",2013,"offspring",133,"Wangag","Wangag",2013,"Y"
"690",2.4,"YR","J",690,"APCL13_390","Wangag",2013-05-30,"08:52:30",224,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"787",4,"YR","J",787,"APCL13_401","Wangag",2013-05-30,"09:32:30",232,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"589",4.7,"W","J",589,"APCL13_406","Wangag",2013-05-30,"09:51:00",235,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"809",4.6,"YR","J",809,"APCL13_037","Poroc San Flower",2013-05-23,"11:45:30",21,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"807",3.8,"YR","J",807,"APCL13_041","Poroc Rose",2013-05-23,"13:18:00",24,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"178",5,"Y","J",178,"APCL13_154","Haina",2013-05-26,"12:38:45",86,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"693",3,"YR","J",693,"APCL13_495","Palanas",2013-05-31,"13:47:30",279,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"894",4.1,"Y","J",894,"APCL13_019","Visca",2013-05-22,"15:54:00",10,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"892",5.1,"Y","J",892,"APCL13_025","Visca",2013-05-22,"16:58:00",13,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"1760",5.3,"YP","J",1760,"APCL13_552","Hicgop South",2013-06-02,"16:12:30",305,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"732",5.7,"YR","J",732,"APCL13_316","Wangag",2013-05-28,"14:53:15",183,1,"C",2013,"offspring",1789,"Wangag","Haina",2013,"Y"
"584",4.3,"YR","J",584,"APCL13_332","Cabatoan",2013-05-29,"09:42:00",194,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"482",5.2,"W","J",482,"APCL13_657","N.Magbangon",2013-06-04,"16:31:30",366,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"2208",4.5,"W","J",2208,"APCL13_425","Wangag",2013-05-30,"11:43:20",249,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"2332",2.7,"YR","J",2332,"APCL13_485","Palanas",2013-05-31,"13:22:00",276,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"770",4.2,"YR","J",770,"APCL13_489","Palanas",2013-05-31,"13:34:36",277,1,"C",2013,"offspring",124,"Palanas","Wangag",2013,"Y"
"601",2.3,"YR","J",601,"APCL13_490","Palanas",2013-05-31,"13:34:36",277,1,"C",2013,"offspring",133,"Palanas","Wangag",2013,"Y"
"708",3.4,"YR","J",708,"APCL13_600","Sitio Baybayon",2013-06-03,"14:59:30",325,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"2361",5.3,"YR","J",2361,"APCL13_601","Sitio Baybayon",2013-06-03,"15:28:00",326,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"1759",5.6,"YP","J",1759,"APCL13_605","Sitio Baybayon",2013-06-03,"15:36:00",329,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"2400",4.9,"YP","J",2400,"APCL13_313","Wangag",2013-05-28,"14:45:50",181,1,"C",2013,"offspring",472,"Wangag","Wangag",2013,"Y"
"354",4.7,"W","J",354,"APCL13_628","Wangag",2013-06-04,"12:50:00",349,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"439",2.5,"YR","J",439,"APCL13_633","Palanas",2013-06-04,"13:39:00",351,1,"C",2013,"offspring",1794,"Palanas","Palanas",2013,"Y"
"384",4,"W","J",384,"APCL13_642","Palanas",2013-06-04,"14:14:30",358,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"580",4,"YR","J",580,"APCL13_646","Palanas",2013-06-04,"14:33:00",360,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"2303",3.6,"YR","J",2303,"APCL13_653","N.Magbangon",2013-06-04,"16:27:30",365,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"480",4.1,"W","J",480,"APCL13_655","N.Magbangon",2013-06-04,"16:27:30",365,1,"C",2013,"offspring",600,"N.Magbangon","Palanas",2013,"Y"
"507",5.4,"W","J",507,"APCL13_656","N.Magbangon",2013-06-04,"16:31:30",366,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"721",5.1,"YR","J",721,"APCL13_447","Palanas",2013-05-31,"09:19:30",256,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"780",4,"W","J",780,"APCL13_464","Palanas",2013-05-31,"10:55:10",264,1,"C",2013,"offspring",2103,"Palanas","Visca",2013,"Y"
"283",5,"YR","J",283,"APCL13_476","Palanas",2013-05-31,"11:45:00",272,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"668",3.7,"YR","J",668,"APCL13_479","Palanas",2013-05-31,"12:59:30",274,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"784",4.2,"W","J",784,"APCL13_480","Palanas",2013-05-31,"12:59:30",274,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"622",5.9,"YR","J",622,"APCL13_518","Caridad Proper",2013-06-02,"08:56:00",289,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"641",3.3,"YR","J",641,"APCL13_522","Caridad Proper",2013-06-02,"09:43:00",291,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"650",2.5,"YR","J",650,"APCL13_527","Caridad Cemetery",2013-06-02,"11:25:00",293,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"440",3.4,"WP","J",440,"APCL13_533","Hicgop South",2013-06-02,"14:50:45",297,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"346",4.2,"YR","J",346,"APCL13_550","Hicgop South",2013-06-02,"16:01:27",304,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"799",5.5,"YR","J",799,"APCL13_556","Sitio Baybayon",2013-06-03,"12:33:02",307,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"407",3.8,"YR","J",407,"APCL13_563","Sitio Baybayon",2013-06-03,"12:46:00",310,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"727",3,"YR","J",727,"APCL13_572","Sitio Baybayon",2013-06-03,"13:16:00",315,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"572",3.3,"YR","J",572,"APCL13_574","Sitio Baybayon",2013-06-03,"13:20:30",316,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"449",3.3,"YR","J",449,"APCL13_581","Sitio Baybayon",2013-06-03,"13:59:00",318,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"709",5.4,"WP","J",709,"APCL13_612","Wangag",2013-06-04,"11:29:00",336,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"649",3.9,"YR","J",649,"APCL13_616","Wangag",2013-06-04,"11:51:00",340,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"682",4.8,"YR","J",682,"APCL13_624","Wangag",2013-06-04,"12:33:00",346,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"366",3.1,"BW","J",366,"APCL13_636","Palanas",2013-06-04,"13:48:00",353,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"526",4,"YR","J",526,"APCL13_638","Palanas",2013-06-04,"13:57:00",355,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"556",2.2,"YR","J",556,"APCL13_649","Palanas",2013-06-04,"14:48:20",363,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"587",3.6,"YR","J",587,"APCL13_629","Palanas",2013-06-04,"13:25:00",350,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"490",3,"W","J",490,"APCL13_666","N.Magbangon",2013-06-04,"17:06:30",374,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"613",4.5,"W","J",613,"APCL13_667","N.Magbangon",2013-06-04,"17:06:30",374,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"805",5.2,"YR","J",805,"APCL13_105","Elementary School",2013-05-25,"11:19:30",60,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
"804",3.2,"W","J",804,"APCL13_106","Elementary School",2013-05-25,"12:06:15",61,1,"C",2013,"offspring",720,"Elementary School","Palanas",2013,"Y"
"813",5,"YR","J",813,"APCL13_107","Elementary School",2013-05-25,"12:06:15",61,1,"C",2013,"offspring",NA,NA,NA,NA,"N"
