fish_indiv,year,size,color,sex,gen_id,ligation_id,sample_id,input,site,par_fish_indiv,offs_site,par_site,year_match,matched_offs,season
762,2012,5.1,Y,J,762,L2436,APCL12_256,offspring,Wangag,236,Wangag,Palanas,2012,Y,SWM
409,2012,4.5,Y,J,409,L2319,APCL12_276,offspring,Wangag,NA,NA,NA,NA,N,SWM
2317,2012,5.1,W,J,2317,L2481,APCL12_168,offspring,S.Magbangon,NA,NA,NA,NA,N,SWM
92,2012,5.4,NA,NA,92,L2212,APCL12_094,offspring,Palanas,NA,NA,NA,NA,N,SWM
267,2012,5.5,Y,J,267,L2214,APCL12_102,offspring,Wangag,NA,NA,NA,NA,N,SWM
148,2012,4.8,W,J,148,L2216,APCL12_115,offspring,Wangag,NA,NA,NA,NA,N,SWM
199,2012,5.3,NA,NA,199,L2218,APCL12_119,offspring,Wangag,NA,NA,NA,NA,N,SWM
121,2012,5.3,W,J,121,L2220,APCL12_122,offspring,Wangag,NA,NA,NA,NA,N,SWM
758,2012,5.6,Y,J,758,L2226,APCL12_167,offspring,S.Magbangon,NA,NA,NA,NA,N,SWM
193,2012,4.5,NA,NA,193,L2270,APCL12_103,offspring,Wangag,NA,NA,NA,NA,N,SWM
115,2012,4.6,W,J,115,L2274,APCL12_152,offspring,S.Magbangon,NA,NA,NA,NA,N,SWM
249,2012,4.5,Y,J,249,L2276,APCL12_166,offspring,S.Magbangon,NA,NA,NA,NA,N,SWM
227,2012,5.6,W,J,227,L2281,APCL12_199,offspring,Poroc Rose,NA,NA,NA,NA,N,SWM
237,2012,5.8,Y,J,237,L2288,APCL12_212,offspring,Poroc San Flower,862,Poroc San Flower,Wangag,2012,Y,SWM
860,2012,5.1,W,J,860,L2325,APCL12_282,offspring,Wangag,NA,NA,NA,NA,N,SWM
2281,2012,5,Y,J,2281,L2329,APCL12_286,offspring,Wangag,NA,NA,NA,NA,N,SWM
225,2012,4.8,NA,NA,225,L2361,APCL12_055,offspring,Palanas,NA,NA,NA,NA,N,SWM
140,2012,4.9,NA,NA,140,L2369,APCL12_126,offspring,Cabatoan,NA,NA,NA,NA,N,SWM
229,2012,5.5,Y,J,229,L2383,APCL12_193,offspring,Poroc Rose,NA,NA,NA,NA,N,SWM
143,2012,5.8,Y,J,143,L2384,APCL12_200,offspring,Poroc Rose,NA,NA,NA,NA,N,SWM
216,2012,5.7,NA,NA,216,L2406,APCL12_039,offspring,Palanas,NA,NA,NA,NA,N,SWM
176,2012,4.8,NA,NA,176,L2414,APCL12_061,offspring,Palanas,NA,NA,NA,NA,N,SWM
144,2012,4.6,Y,J,144,L2424,APCL12_143,offspring,Cabatoan,NA,NA,NA,NA,N,SWM
261,2012,5.9,W,J,261,L2427,APCL12_169,offspring,S.Magbangon,NA,NA,NA,NA,N,SWM
244,2012,5.6,W,J,244,L2429,APCL12_196,offspring,Poroc Rose,NA,NA,NA,NA,N,SWM
139,2012,5,Y,J,139,L2430,APCL12_204,offspring,Poroc San Flower,NA,NA,NA,NA,N,SWM
145,2012,5.7,NA,NA,145,L2470,APCL12_056,offspring,Palanas,NA,NA,NA,NA,N,SWM
217,2012,5.7,Y,J,217,L2479,APCL12_158,offspring,S.Magbangon,NA,NA,NA,NA,N,SWM
878,2012,4.6,Y,J,878,L2486,APCL12_250,offspring,Wangag,NA,NA,NA,NA,N,SWM
169,2012,5.2,NA,NA,169,L2552,APCL12_023,offspring,Visca,NA,NA,NA,NA,N,SWM
204,2012,4.6,NA,NA,204,L2566,APCL12_136,offspring,Cabatoan,NA,NA,NA,NA,N,SWM
291,2012,5.3,W,J,291,L2582,APCL12_187,offspring,Poroc Rose,NA,NA,NA,NA,N,SWM
154,2012,5.2,Y,J,154,L3042,APCL12_203,offspring,Poroc San Flower,NA,NA,NA,NA,N,SWM
1009,2012,5.4,NA,NA,1009,L3119,APCL12_128,offspring,Cabatoan,NA,NA,NA,NA,N,SWM
224,2012,5.7,W,J,224,L2227,APCL12_205,offspring,Poroc San Flower,196,Poroc San Flower,S.Magbangon,2012,Y,SWM
320,2013,4.6,W,J,320,L0259,APCL13_224,offspring,Palanas,754,Palanas,Sitio Baybayon,2013,Y,SWM
514,2013,5.4,W,J,514,L0268,APCL13_234,offspring,Palanas,NA,NA,NA,NA,N,SWM
473,2013,4.7,YR,J,473,L0270,APCL13_237,offspring,Palanas,NA,NA,NA,NA,N,SWM
973,2013,4.7,YP,J,973,L0291,APCL13_258,offspring,Wangag,NA,NA,NA,NA,N,SWM
310,2013,4.9,YR,J,310,L0293,APCL13_260,offspring,Wangag,NA,NA,NA,NA,N,SWM
648,2013,4.6,YR,J,648,L0301,APCL13_268,offspring,Wangag,NA,NA,NA,NA,N,SWM
798,2013,5,YR,J,798,L0307,APCL13_274,offspring,Wangag,NA,NA,NA,NA,N,SWM
967,2013,4.5,YP,J,967,L0317,APCL13_285,offspring,Wangag,NA,NA,NA,NA,N,SWM
549,2013,5.4,W,J,549,L0319,APCL13_287,offspring,Wangag,394,Wangag,Palanas,2013,Y,SWM
497,2013,5.5,YR,J,497,L0321,APCL13_289,offspring,Wangag,NA,NA,NA,NA,N,SWM
623,2013,5.4,YR,J,623,L0326,APCL13_294,offspring,Wangag,NA,NA,NA,NA,N,SWM
447,2013,5.3,W,J,447,L0362,APCL13_341,offspring,S.Magbangon,236,S.Magbangon,Palanas,2013,Y,SWM
459,2013,5.8,W,J,459,L0366,APCL13_346,offspring,S.Magbangon,NA,NA,NA,NA,N,SWM
557,2013,5.8,W,J,557,L0375,APCL13_359,offspring,S.Magbangon,NA,NA,NA,NA,N,SWM
676,2013,5.7,YR,J,676,L0385,APCL13_372,offspring,S.Magbangon,NA,NA,NA,NA,N,SWM
630,2013,5.2,YR,J,630,L0387,APCL13_374,offspring,S.Magbangon,NA,NA,NA,NA,N,SWM
589,2013,4.7,W,J,589,L0407,APCL13_406,offspring,Wangag,NA,NA,NA,NA,N,SWM
809,2013,4.6,YR,J,809,L0411,APCL13_037,offspring,Poroc San Flower,NA,NA,NA,NA,N,SWM
178,2013,5,Y,J,178,L0436,APCL13_154,offspring,Haina,NA,NA,NA,NA,N,SWM
892,2013,5.1,Y,J,892,L0484,APCL13_025,offspring,Visca,NA,NA,NA,NA,N,SWM
1760,2013,5.3,YP,J,1760,L0494,APCL13_552,offspring,Hicgop South,NA,NA,NA,NA,N,SWM
732,2013,5.7,YR,J,732,L0641,APCL13_316,offspring,Wangag,1789,Wangag,Haina,2013,Y,SWM
482,2013,5.2,W,J,482,L0646,APCL13_657,offspring,N.Magbangon,NA,NA,NA,NA,N,SWM
2208,2013,4.5,W,J,2208,L0653,APCL13_425,offspring,Wangag,NA,NA,NA,NA,N,SWM
2361,2013,5.3,YR,J,2361,L0683,APCL13_601,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
1759,2013,5.6,YP,J,1759,L0685,APCL13_605,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
2400,2013,4.9,YR,J,2400,L0691,APCL13_626,offspring,Wangag,472,Wangag,Wangag,2013,Y,SWM
354,2013,4.7,W,J,354,L0692,APCL13_628,offspring,Wangag,NA,NA,NA,NA,N,SWM
507,2013,5.4,W,J,507,L0773,APCL13_656,offspring,N.Magbangon,NA,NA,NA,NA,N,SWM
721,2013,5.1,YR,J,721,L0846,APCL13_447,offspring,Palanas,NA,NA,NA,NA,N,SWM
283,2013,5,YR,J,283,L0852,APCL13_476,offspring,Palanas,NA,NA,NA,NA,N,SWM
622,2013,5.9,YR,J,622,L0858,APCL13_518,offspring,Caridad Proper,NA,NA,NA,NA,N,SWM
799,2013,5.5,YR,J,799,L0870,APCL13_556,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
709,2013,5.4,WP,J,709,L0883,APCL13_612,offspring,Wangag,NA,NA,NA,NA,N,SWM
682,2013,4.8,YR,J,682,L0887,APCL13_624,offspring,Wangag,NA,NA,NA,NA,N,SWM
613,2013,4.5,W,J,613,L0982,APCL13_667,offspring,N.Magbangon,NA,NA,NA,NA,N,SWM
805,2013,5.2,YR,J,805,L1074,APCL13_105,offspring,Elementary School,NA,NA,NA,NA,N,SWM
813,2013,5,YR,J,813,L1076,APCL13_107,offspring,Elementary School,NA,NA,NA,NA,N,SWM
808,2013,4.8,W,J,808,L1078,APCL13_110,offspring,Elementary School,NA,NA,NA,NA,N,SWM
338,2013,5.5,W,J,338,L1080,APCL13_184,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
522,2013,5.7,YR,J,522,L1087,APCL13_124,offspring,Elementary School,NA,NA,NA,NA,N,SWM
684,2013,5.5,WP,J,684,L1099,APCL13_146,offspring,Tamakin Dacot,NA,NA,NA,NA,N,SWM
656,2013,4.9,Y,J,656,L1103,APCL13_155,offspring,Haina,NA,NA,NA,NA,N,SWM
792,2013,4.9,Y,J,792,L1110,APCL13_165,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
385,2013,4.9,YR,J,385,L1118,APCL13_173,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
411,2013,5.3,YR,J,411,L1210,APCL13_632,offspring,Palanas,NA,NA,NA,NA,N,SWM
968,2013,5,YP,J,968,L1220,APCL13_575,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
434,2013,4.5,YR,J,434,L1248,APCL13_641,offspring,Palanas,754,Palanas,Sitio Baybayon,2013,Y,SWM
698,2013,4.7,YR,J,698,L1269,APCL13_468,offspring,Palanas,NA,NA,NA,NA,N,SWM
728,2013,5.2,YR,J,728,L1274,APCL13_647,offspring,Palanas,NA,NA,NA,NA,N,SWM
415,2013,4.5,WP,J,415,L1312,APCL13_519,offspring,Caridad Proper,NA,NA,NA,NA,N,SWM
595,2013,5.8,YR,J,595,L1724,APCL13_639,offspring,Palanas,NA,NA,NA,NA,N,SWM
372,2013,5.2,W,J,372,L1102,APCL13_152,offspring,Haina,NA,NA,NA,NA,N,SWM
478,2013,5.9,YR,J,478,L2440,APCL13_122,offspring,Elementary School,NA,NA,NA,NA,N,SWM
419,2013,4.9,W,J,419,L2492,APCL13_463,offspring,Palanas,NA,NA,NA,NA,N,SWM
433,2013,5.3,WP,J,433,L0884,APCL13_615,offspring,Wangag,NA,NA,NA,NA,N,SWM
386,2014,4.5,Y,J,386,L0598,APCL14_310,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
765,2014,5.1,Y,J,765,L0600,APCL14_314,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
660,2014,4.9,Y,J,660,L0614,APCL14_320,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
966,2014,4.8,YP,J,966,L0615,APCL14_337,offspring,Wangag,NA,NA,NA,NA,N,SWM
744,2014,4.6,W,J,744,L0616,APCL14_338,offspring,Wangag,2076,Wangag,Sitio Baybayon,2014,Y,SWM
317,2014,5,Y,J,317,L0620,APCL14_541,offspring,S.Magbangon,NA,NA,NA,NA,N,SWM
423,2014,4.5,YR,J,423,L0625,APCL14_449,offspring,Wangag,NA,NA,NA,NA,N,SWM
509,2014,5.3,W,J,509,L0628,APCL14_460,offspring,N.Magbangon,NA,NA,NA,NA,N,SWM
276,2014,5.5,YR,J,276,L0633,APCL14_300,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
659,2014,5.2,YR,J,659,L0635,APCL14_327,offspring,Wangag,NA,NA,NA,NA,N,SWM
333,2014,4.9,W,J,333,L0707,APCL14_080,offspring,Palanas,NA,NA,NA,NA,N,SWM
336,2014,5.9,Y,J,336,L0735,APCL14_223,offspring,N.Magbangon,NA,NA,NA,NA,N,SWM
757,2014,4.7,W,J,757,L0745,APCL14_453,offspring,N.Magbangon,NA,NA,NA,NA,N,SWM
475,2014,5.6,YR,J,475,L0749,APCL14_046,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
512,2014,5,W,J,512,L0758,APCL14_402,offspring,Wangag,NA,NA,NA,NA,N,SWM
277,2014,5.3,Y,J,277,L0760,APCL14_412,offspring,Wangag,NA,NA,NA,NA,N,SWM
610,2014,5.7,W,J,610,L0763,APCL14_432,offspring,Wangag,NA,NA,NA,NA,N,SWM
603,2014,4.6,W,J,603,L0764,APCL14_455,offspring,N.Magbangon,NA,NA,NA,NA,N,SWM
701,2014,4.5,W,J,701,L0775,APCL14_020,offspring,Cabatoan,NA,NA,NA,NA,N,SWM
652,2014,4.8,YR,J,652,L0776,APCL14_026,offspring,Cabatoan,NA,NA,NA,NA,N,SWM
2364,2014,4.8,W,J,2364,L0780,APCL14_145,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
712,2014,5.2,W,J,712,L0782,APCL14_162,offspring,Palanas,NA,NA,NA,NA,N,SWM
674,2014,5.1,YR,J,674,L0787,APCL14_224,offspring,N.Magbangon,NA,NA,NA,NA,N,SWM
279,2014,4.5,YR,J,279,L0789,APCL14_227,offspring,N.Magbangon,NA,NA,NA,NA,N,SWM
746,2014,4.5,Y,J,746,L0790,APCL14_229,offspring,N.Magbangon,NA,NA,NA,NA,N,SWM
588,2014,5.4,Y,J,588,L0791,APCL14_231,offspring,N.Magbangon,NA,NA,NA,NA,N,SWM
619,2014,5.4,YR,J,619,L0793,APCL14_251,offspring,Sitio Baybayon,NA,NA,NA,NA,N,SWM
768,2014,5.1,W,J,768,L0794,APCL14_346,offspring,Wangag,NA,NA,NA,NA,N,SWM
786,2014,4.5,Y,J,786,L0795,APCL14_385,offspring,Wangag,NA,NA,NA,NA,N,SWM
284,2014,4.5,W,J,284,L0797,APCL14_395,offspring,Wangag,NA,NA,NA,NA,N,SWM
2552,2014,5.5,W,J,2552,L0798,APCL14_423,offspring,Wangag,NA,NA,NA,NA,N,SWM
351,2014,5.2,YR,J,351,L0799,APCL14_424,offspring,Wangag,NA,NA,NA,NA,N,SWM
527,2014,5,W,J,527,L0802,APCL14_410,offspring,Wangag,NA,NA,NA,NA,N,SWM
2554,2014,4.9,W,J,2554,L0803,APCL14_417,offspring,Wangag,NA,NA,NA,NA,N,SWM
499,2014,4.8,YR,J,499,L0806,APCL14_307,offspring,Sitio Baybayon,961,Sitio Baybayon,Sitio Baybayon,2014,Y,SWM
